pg,id,x,y,w,h,ar,al,len,hash,segs
01,256:52,226.2,119.8,341.4,120,H,C,17,1l17vkx,0:17:55:60
02,256:55,54,24,180,15,H,L,8,15lhnc4,0:8:11:15
02,256:56,54,42,240,15,H,L,30,5171gt,0:30:10:15
02,256:57,54,80,686,34,H,L,10,1llnor1,0:10:30:34
02,256:59,54,535,300,15,H,L,37,1tzwir9,0:37:10:15
02,256:60,54,160,320,19,H,L,20,ql2g65,0:20:14:19
02,256:61,54,194,320,38,H,L,64,1t0twvh,0:64:14:19
02,256:62,54,232,320,15,H,L,8,18wlgxy,0:8:10:15
02,256:63,54,250,320,15,H,L,9,1ihh2c3,0:9:10:15
02,256:64,54,268,320,15,H,L,14,gr218n,0:14:10:15
02,256:65,54,283,320,38,H,L,62,5znil,0:62:14:19
02,256:66,54,312,320,15,H,L,16,1odd7nd,0:16:10:15
02,256:67,54,338,320,19,H,L,25,1plsx98,0:25:14:19
02,256:68,54,366,320,15,H,L,49,skh3we,0:49:10:15
02,256:69,54,386,320,15,H,L,50,10pi6wh,0:50:10:15
02,256:70,214,386,320,13,H,L,0,45h,
02,256:71,54,406,320,15,H,L,56,1a41dix,0:56:10:15
02,256:72,420,160,320,38,H,L,46,brco9q,0:46:14:19
02,256:73,420,190,320,18,H,L,27,1k5w7mu,0:27:12:18
02,256:74,420,213,320,15,H,L,13,1vxwlfl,0:13:10:15
02,256:75,420,231,320,15,H,L,17,3sdtxe,0:17:10:15
02,256:76,420,260,320,18,H,L,17,fvyd1x,0:17:12:18
02,256:77,513.5,260,226.5,14,H,L,0,45h,
02,256:78,420,284,320,30,H,L,64,uvgyuy,0:64:10:15
02,256:79,420,306.6,320,30,H,L,85,net16y,0:85:10:15
02,256:80,420,329.3,320,30,H,L,82,jv72gq,0:82:10:15
02,256:81,420,359,320,19,H,L,39,1s6yvh,0:39:14:19
02,256:82,420,387,320,15,H,L,52,qn78f2,0:52:10:15
02,256:83,420,407,320,30,H,L,60,1sfmvz6,0:60:10:15
