# Снапшот текста и начертаний RU/EN — 21/09/2026, после свода к градации Rubik.
# Заменяет ru-2026-09-20.csv как эталон «текст не менялся»: старый разошёлся,
# потому что заказчик правил полосы 02, 04 и 06 сам (узлов стало 331 вместо 330).
#
# hash  — djb2 (base36) от строки "<id>:<len>:<djb2(characters)>" всех узлов полосы через "|"
# R,M,B — знаков в Rubik Regular / Medium / Bold. SemiBold и ExtraBold в издании нет.
# Полный снимок геометрии — страницы CHECKPOINT 21-09 — RU / — EN в самом файле Figma.
ed,pg,nodes,chars,hash,R,M,B
RU,01,1,17,lmu8m7,17,0,0
RU,02,28,960,1n6swty,166,776,18
RU,03,10,1842,1czmp1c,1712,95,35
RU,04,4,93,1ytfr77,56,6,31
RU,05,8,1743,1fbnk3v,1381,322,40
RU,06,14,1303,19kamy2,1039,243,21
RU,07,10,819,15n8t4y,509,289,21
RU,08,15,2150,1spxi22,1963,152,35
RU,09,10,906,kztzr,763,108,35
RU,10,13,1725,riax42,1443,262,20
RU,11,6,153,10rtb40,105,18,30
RU,12,13,1658,1cbmmcn,1519,117,22
RU,13,7,522,7d0gi,436,64,22
RU,14,4,88,t8uspl,50,0,38
RU,15,6,1641,15zytlx,1385,215,41
RU,16,12,2347,xroa47,1976,313,58
RU,17,12,2209,4fzg5y,1966,217,26
RU,18,10,201,1pgv89d,37,131,33
RU,19,6,223,16hhc09,161,0,62
RU,20,14,1368,1dmdcq4,1143,206,19
RU,21,11,1670,fxqujc,1488,159,23
RU,22,7,300,c7pji1,37,238,25
RU,23,12,1240,1svz7dv,1188,25,27
RU,24,20,1796,1eapiok,1536,237,23
RU,25,10,817,r5ulyd,755,25,37
RU,26,22,1723,1uqpd3v,1451,239,33
RU,27,11,1193,1wnqpgv,1058,107,28
RU,28,13,1552,1mglj7t,1255,269,28
RU,29,5,194,npzoj0,37,108,49
RU,30,8,743,1e9odgb,701,27,15
RU,31,9,1154,9e7tes,1016,122,16
RU,32,0,0,45h,0,0,0
EN,01,1,7,18dqneh,7,0,0
EN,02,28,890,9wiqup,166,699,25
EN,03,10,2161,rmvhnq,1948,183,30
EN,04,4,55,1yrgjz,0,0,55
EN,05,8,1697,6xxzq3,1310,352,35
EN,06,11,1093,1cxzrtw,859,213,21
EN,07,10,931,140j7vi,587,323,21
EN,08,15,2046,zg6pae,1860,151,35
EN,09,10,1114,17von25,976,103,35
EN,10,13,1550,1xu7udu,1348,182,20
EN,11,6,94,m7j4u4,68,0,26
EN,12,13,1639,14um771,1514,103,22
EN,13,7,475,1slpayb,380,73,22
EN,14,4,89,a7xrb2,51,0,38
EN,15,6,1645,aq1ms7,1400,205,40
EN,16,12,2669,n5ta8f,2302,302,65
EN,17,10,2089,1jbeo7d,1901,162,26
EN,18,11,195,iwa1yr,37,127,31
EN,19,6,241,nmzk9g,185,0,56
EN,20,14,1371,1q0hpaa,1126,226,19
EN,21,11,1135,py7eil,934,178,23
EN,22,7,270,1dlsroc,37,207,26
EN,23,12,1295,c3rlls,1240,28,27
EN,24,20,1807,1nfmqw0,1564,220,23
EN,25,10,874,utaiy4,807,30,37
EN,26,22,1839,guiuil,1582,224,33
EN,27,11,1279,3px3kl,1130,121,28
EN,28,13,1035,1jbbp03,811,196,28
EN,29,5,170,14fku75,37,96,37
EN,30,8,720,jrmrwm,678,27,15
EN,31,9,1321,1kvl3ck,1187,118,16
EN,32,0,0,45h,0,0,0
# RU nodes=331 hash=a06v8p
# EN nodes=327 hash=77luyi
