# Снимок после замены русских текстов на редакцию 18/09 (Илона).
# djb2 считается по id узла + его символам; inkbottom — низ чернил полосы,
# включая колонтитул (~537..551), поэтому это НЕ контрольная линия 520.
edition,page,nodes,chars,djb2,inkbottom
RU,01,1,17,19a3ci9,181
RU,02,28,796,1usq0f6,544
RU,03,10,1642,iwvp4k,550
RU,04,4,93,10c0f3c,328
RU,05,9,1643,10s04d8,548
RU,06,14,1365,7nsph7,505
RU,07,10,910,1mt3qu1,548
RU,08,12,2099,1hkklhp,548
RU,09,10,1039,hgdmsd,550
RU,10,13,1595,4ut9y2,540
RU,11,5,135,ngfcb8,543
RU,12,13,1441,15exk0m,548
RU,13,7,515,1rqu8k7,545
RU,14,4,88,1x7xwml,539
RU,15,6,1534,1x51ab,544
RU,16,11,1954,4qaylx,543
RU,17,10,2126,13bh73p,549
RU,18,10,201,1cd252k,538
RU,19,6,179,1pa5ce1,533
RU,20,14,1381,i4zdv9,548
RU,21,11,1745,1qf5hr1,548
RU,22,7,300,17wuwvu,548
RU,23,12,1204,1hqvf34,537
RU,24,20,1809,1mi0qeb,548
RU,25,10,877,r3d6n,548
RU,26,22,1821,1f2pb9k,551
RU,27,11,1183,11047i3,541
RU,28,14,1405,xtej0p,548
RU,29,5,194,149wria,541
RU,30,8,869,1n3aawf,537
RU,31,9,1187,s3bbs7,534
RU,32,0,0,45h,0
EN,01,1,7,1kufhpa,162
EN,02,28,753,1eg8gxg,548
EN,03,9,2155,18barto,548
EN,04,4,55,s20tkk,226
EN,05,9,1697,xrjuug,548
EN,06,11,1093,q1s0cl,511
EN,07,10,931,1s15syu,548
EN,08,15,2046,yvdyvj,548
EN,09,10,1114,1jcqcyg,548
EN,10,13,1550,1j11clu,548
EN,11,6,94,1t69idv,538
EN,12,13,1639,1a14s49,548
EN,13,7,473,1lkythc,548
EN,14,4,89,14o8dnc,534
EN,15,6,1645,j0q6dl,548
EN,16,11,2670,3ztgwt,545
EN,17,10,2089,g5q5lb,548
EN,18,11,195,v2sdsq,548
EN,19,6,241,a96gwb,544
EN,20,14,1371,1udnde1,548
EN,21,11,1135,t3wiba,549
EN,22,7,270,1akyywf,548
EN,23,12,1295,uz6ihu,548
EN,24,20,1807,11rm6nc,548
EN,25,10,874,12kxmhh,537
EN,26,22,1839,wb7t6a,548
EN,27,11,1279,9pyroc,548
EN,28,13,1035,h949vr,548
EN,29,5,170,1ja59rh,548
EN,30,8,720,16wsrsd,548
EN,31,9,1321,1bhussu,548
EN,32,0,0,45h,0
