# Снимок после правки опечатки на RU 31, подъёма английского тела с 8pt до 10pt
# на полосах 03, 06, 09 и сведения краски EN к палитре.
# Кегль ниже 10 — ноль в обеих версиях. RU 317 узлов / 33 358 зн. (не изменилось:
# правка опечатки пробел→«о» длину не меняет). EN 317 / 33 656 (−6 против 33 662:
# сняты 5 хвостовых пустых строк на EN 09 / 256:733 и ведущая на 256:729).
edition,page,nodes,chars,djb2,inkbottom
RU,01,1,17,19a3ci9,181
RU,02,28,796,1usq0f6,544
RU,03,8,1644,3hqt17,550
RU,04,4,93,10c0f3c,328
RU,05,9,1643,10s04d8,548
RU,06,14,1365,7nsph7,505
RU,07,10,910,1mt3qu1,548
RU,08,12,2099,1hkklhp,548
RU,09,10,1039,hgdmsd,550
RU,10,12,1597,wzzkjb,540
RU,11,5,135,ngfcb8,543
RU,12,11,1443,1g4vznj,548
RU,13,7,515,1rqu8k7,545
RU,14,4,88,1x7xwml,539
RU,15,6,1534,1x51ab,544
RU,16,11,1954,4qaylx,543
RU,17,10,2126,lapsol,549
RU,18,10,201,1cd252k,538
RU,19,6,179,1pa5ce1,533
RU,20,13,1382,1k3sw0o,548
RU,21,11,1745,1qf5hr1,548
RU,22,7,300,17wuwvu,548
RU,23,10,1206,wn12b3,537
RU,24,20,1809,1mi0qeb,548
RU,25,10,877,r3d6n,548
RU,26,22,1821,1f2pb9k,551
RU,27,11,1183,11047i3,541
RU,28,14,1405,xtej0p,548
RU,29,5,194,149wria,541
RU,30,7,871,h8inuy,537
RU,31,9,1187,1pk8qrd,534
RU,32,0,0,45h,0
EN,01,1,7,1kufhpa,162
EN,02,28,753,1eg8gxg,548
EN,03,8,2156,jiz0xo,548
EN,04,4,55,s20tkk,226
EN,05,9,1697,xrjuug,548
EN,06,11,1093,q1s0cl,484
EN,07,10,931,1s15syu,548
EN,08,12,2049,11q8e6h,548
EN,09,10,1108,19qiyg,548
EN,10,12,1552,18qgly7,548
EN,11,6,94,1t69idv,538
EN,12,12,1640,1o2kg64,548
EN,13,7,473,1lkythc,548
EN,14,4,89,14o8dnc,534
EN,15,6,1645,j0q6dl,548
EN,16,11,2670,3ztgwt,545
EN,17,10,2089,g5q5lb,548
EN,18,11,195,v2sdsq,548
EN,19,6,241,a96gwb,544
EN,20,13,1372,1swo79n,548
EN,21,11,1135,t3wiba,549
EN,22,7,270,1akyywf,548
EN,23,10,1297,rota3n,548
EN,24,20,1807,11rm6nc,548
EN,25,10,874,12kxmhh,537
EN,26,22,1839,wb7t6a,548
EN,27,11,1279,9pyroc,548
EN,28,13,1035,h949vr,548
EN,29,5,170,1ja59rh,548
EN,30,8,720,16wsrsd,548
EN,31,9,1321,1bhussu,548
EN,32,0,0,45h,0
